# node=htc-g048 nodelist=htc-g048 slurm_job_id=7972745 gpu_freq_mhz=1300
# inventory=/data/engs-glass/engs2950/DVFS-MoE/LLMServingSim/profiler/power/data/v100_1300MHz/7972745/gpu_inventory.csv
timestamp,index,uuid,name,pci.bus_id,utilization.gpu,power.draw,clocks.current.graphics
2026/06/16 12:41:28.538, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:29.601, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:30.642, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:31.706, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.23, 135
2026/06/16 12:41:32.780, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:33.832, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:34.883, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:35.957, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:37.033, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:38.093, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:39.144, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:40.194, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:41.246, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:42.296, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:43.362, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:44.430, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:46.627, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:47.701, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:48.751, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:49.823, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.23, 135
2026/06/16 12:41:50.873, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:51.934, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.23, 135
2026/06/16 12:41:52.998, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.23, 135
2026/06/16 12:41:54.059, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:55.121, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:56.219, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:57.268, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:58.320, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:41:59.372, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.23, 135
2026/06/16 12:42:00.424, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.23, 135
2026/06/16 12:42:01.485, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:02.536, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:03.597, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:04.662, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:05.724, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:06.811, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:07.885, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.23, 135
2026/06/16 12:42:08.936, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:10.000, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:11.081, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:12.132, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:13.195, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:14.285, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
2026/06/16 12:42:15.337, 0, GPU-591cc95e-8b3f-9790-136a-99d7089e99db, Tesla V100-SXM2-32GB-LS, 00000000:8A:00.0, 0, 42.26, 135
