prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,21.119
0,0,1,32,21.472
0,0,1,64,21.792
0,0,1,128,21.632
0,0,1,256,26.368
0,0,2,16,21.151
0,0,2,32,21.472
0,0,2,64,21.921
0,0,2,128,21.952
0,0,2,256,31.423
0,0,4,16,21.632
0,0,4,32,30.303
0,0,4,64,22.016
0,0,4,128,29.954
0,0,4,256,33.12
0,0,8,16,22.815
0,0,8,32,34.688
0,0,8,64,25.984
0,0,8,128,38.399
0,0,8,256,60.192
0,0,16,16,25.728
0,0,16,32,30.751
0,0,16,64,40.831
0,0,16,128,55.84
0,0,16,256,90.56
0,0,32,16,43.264
0,0,32,32,51.872
0,0,32,64,67.583
0,0,32,128,100.031
0,0,32,256,155.679
16,0,0,0,24.48
16,0,1,16,24.864
16,0,1,32,32.48
16,0,1,64,42.464
16,0,1,128,62.655
16,0,1,256,102.239
16,0,2,16,24.288
16,0,2,32,33.216
16,0,2,64,43.36
16,0,2,128,62.912
16,0,2,256,102.688
16,0,4,16,24.96
16,0,4,32,32.832
16,0,4,64,43.36
16,0,4,128,64.159
16,0,4,256,104.831
16,0,8,16,26.528
16,0,8,32,35.294
16,0,8,64,45.44
16,0,8,128,66.366
16,0,8,256,107.198
16,0,16,16,26.784
16,0,16,32,43.391
16,0,16,64,59.36
16,0,16,128,94.592
16,0,16,256,161.759
16,16,0,0,24.672
16,16,1,16,24.384
16,16,1,32,32.704
16,16,1,64,42.784
16,16,1,128,62.463
16,16,1,256,102.111
16,16,2,16,24.896
16,16,2,32,33.184
16,16,2,64,42.654
16,16,2,128,62.623
16,16,2,256,102.975
16,16,4,16,24.768
16,16,4,32,33.568
16,16,4,64,43.328
16,16,4,128,63.584
16,16,4,256,104.639
16,16,8,16,26.368
16,16,8,32,35.104
16,16,8,64,45.727
16,16,8,128,66.174
16,16,8,256,106.623
16,16,16,16,26.943
16,16,16,32,43.296
16,16,16,64,60.895
16,16,16,128,94.784
16,16,16,256,160.991
16,32,0,0,33.599
16,32,1,16,33.28
16,32,1,32,33.44
16,32,1,64,42.975
16,32,1,128,63.071
16,32,1,256,102.463
16,32,2,16,33.856
16,32,2,32,33.825
16,32,2,64,43.072
16,32,2,128,62.752
16,32,2,256,102.72
16,32,4,16,33.152
16,32,4,32,33.856
16,32,4,64,42.72
16,32,4,128,63.679
16,32,4,256,104.222
16,32,8,16,34.463
16,32,8,32,43.329
16,32,8,64,52.928
16,32,8,128,72.287
16,32,8,256,112.671
16,32,16,16,35.84
16,32,16,32,43.648
16,32,16,64,60.16
16,32,16,128,93.792
16,32,16,256,161.184
16,64,0,0,43.807
16,64,1,16,43.231
16,64,1,32,43.455
16,64,1,64,43.136
16,64,1,128,62.592
16,64,1,256,102.559
16,64,2,16,43.455
16,64,2,32,43.743
16,64,2,64,43.584
16,64,2,128,62.591
16,64,2,256,102.431
16,64,4,16,43.68
16,64,4,32,43.393
16,64,4,64,43.905
16,64,4,128,63.871
16,64,4,256,104.959
16,64,8,16,45.152
16,64,8,32,52.672
16,64,8,64,59.711
16,64,8,128,80.287
16,64,8,256,120.03
16,64,16,16,45.696
16,64,16,32,53.312
16,64,16,64,60.672
16,64,16,128,93.823
16,64,16,256,161.375
16,128,0,0,63.999
16,128,1,16,63.552
16,128,1,32,63.904
16,128,1,64,63.648
16,128,1,128,63.744
16,128,1,256,102.943
16,128,2,16,63.808
16,128,2,32,63.617
16,128,2,64,63.743
16,128,2,128,63.647
16,128,2,256,102.751
16,128,4,16,63.647
16,128,4,32,63.583
16,128,4,64,63.711
16,128,4,128,63.968
16,128,4,256,104.16
16,128,8,16,64.351
16,128,8,32,72.575
16,128,8,64,79.711
16,128,8,128,92.894
16,128,8,256,132.959
16,128,16,16,65.92
16,128,16,32,72.799
16,128,16,64,80.607
16,128,16,128,94.08
16,128,16,256,161.629
16,256,0,0,103.807
16,256,1,16,103.648
16,256,1,32,103.583
16,256,1,64,103.936
16,256,1,128,103.871
16,256,1,256,103.935
16,256,2,16,104.063
16,256,2,32,103.839
16,256,2,64,103.647
16,256,2,128,104.448
16,256,2,256,103.999
16,256,4,16,103.583
16,256,4,32,104
16,256,4,64,103.903
16,256,4,128,104.128
16,256,4,256,103.935
16,256,8,16,104.128
16,256,8,32,112.287
16,256,8,64,121.119
16,256,8,128,133.344
16,256,8,256,159.711
16,256,16,16,105.535
16,256,16,32,112.703
16,256,16,64,119.999
16,256,16,128,134.655
16,256,16,256,161.759
32,0,0,0,25.28
32,0,1,16,25.088
32,0,1,32,33.92
32,0,1,64,43.52
32,0,1,128,62.783
32,0,1,256,102.654
32,0,2,16,24.736
32,0,2,32,32.896
32,0,2,64,42.688
32,0,2,128,63.071
32,0,2,256,102.207
32,0,4,16,26.368
32,0,4,32,34.976
32,0,4,64,44.83
32,0,4,128,64.992
32,0,4,256,105.663
32,0,8,16,26.112
32,0,8,32,42.752
32,0,8,64,59.872
32,0,8,128,92.096
32,0,8,256,159.039
32,0,16,16,26.56
32,0,16,32,42.911
32,0,16,64,60.769
32,0,16,128,94.112
32,0,16,256,161.343
32,16,0,0,33.342
32,16,1,16,34.432
32,16,1,32,38.015
32,16,1,64,42.559
32,16,1,128,62.463
32,16,1,256,102.303
32,16,2,16,33.664
32,16,2,32,33.632
32,16,2,64,43.391
32,16,2,128,63.071
32,16,2,256,102.751
32,16,4,16,35.808
32,16,4,32,42.976
32,16,4,64,51.423
32,16,4,128,72.608
32,16,4,256,110.943
32,16,8,16,42.592
32,16,8,32,43.072
32,16,8,64,59.552
32,16,8,128,91.84
32,16,8,256,159.263
32,16,16,16,43.583
32,16,16,32,43.167
32,16,16,64,59.935
32,16,16,128,93.279
32,16,16,256,169.727
32,32,0,0,34.016
32,32,1,16,33.632
32,32,1,32,34.048
32,32,1,64,43.328
32,32,1,128,63.167
32,32,1,256,102.4
32,32,2,16,33.568
32,32,2,32,33.952
32,32,2,64,44.096
32,32,2,128,63.2
32,32,2,256,111.519
32,32,4,16,42.785
32,32,4,32,42.879
32,32,4,64,51.744
32,32,4,128,72.928
32,32,4,256,112.672
32,32,8,16,43.584
32,32,8,32,43.264
32,32,8,64,58.24
32,32,8,128,93.502
32,32,8,256,157.503
32,32,16,16,43.488
32,32,16,32,43.615
32,32,16,64,60.512
32,32,16,128,93.151
32,32,16,256,160.863
32,64,0,0,43.616
32,64,1,16,43.776
32,64,1,32,43.743
32,64,1,64,44
32,64,1,128,62.72
32,64,1,256,102.463
32,64,2,16,48.255
32,64,2,32,44.128
32,64,2,64,44.415
32,64,2,128,63.551
32,64,2,256,109.183
32,64,4,16,59.999
32,64,4,32,59.903
32,64,4,64,60.383
32,64,4,128,79.456
32,64,4,256,124.671
32,64,8,16,60.192
32,64,8,32,59.712
32,64,8,64,60.576
32,64,8,128,91.871
32,64,8,256,160.575
32,64,16,16,60.607
32,64,16,32,59.776
32,64,16,64,61.023
