layer,tokens,time_us
embedding,1,5.343
embedding,2,5.44
embedding,3,5.76
embedding,4,18.624
embedding,5,6.496
embedding,6,6.976
embedding,7,7.136
embedding,8,7.329
embedding,9,8.032
embedding,10,20.256
embedding,11,8.544
embedding,12,9.121
embedding,13,9.408
embedding,14,9.824
embedding,15,10.337
embedding,16,10.112
embedding,20,4.672
embedding,24,5.056
embedding,28,4.8
embedding,32,4.641
embedding,36,4.833
embedding,40,4.769
embedding,44,5.088
embedding,48,5.088
embedding,52,5.088
embedding,56,11.521
embedding,60,5.216
embedding,64,5.056
embedding,80,5.823
embedding,96,5.376
embedding,112,6.368
embedding,128,5.568
embedding,144,5.856
embedding,160,6.048
embedding,176,6.4
embedding,192,5.889
embedding,208,5.984
embedding,224,5.984
embedding,240,6.24
embedding,256,6.272
final_layernorm,1,4.192
final_layernorm,2,4.096
final_layernorm,3,4.032
final_layernorm,4,3.904
final_layernorm,5,4.16
final_layernorm,6,3.776
final_layernorm,7,3.52
final_layernorm,8,3.68
final_layernorm,9,3.968
final_layernorm,10,3.968
final_layernorm,11,3.745
final_layernorm,12,11.008
final_layernorm,13,3.68
final_layernorm,14,3.808
final_layernorm,15,4.064
final_layernorm,16,3.808
final_layernorm,20,4.256
final_layernorm,24,4.256
final_layernorm,28,4.417
final_layernorm,32,4.512
final_layernorm,36,4.576
final_layernorm,40,5.183
final_layernorm,44,4.704
final_layernorm,48,4.928
final_layernorm,52,4.928
final_layernorm,56,4.864
final_layernorm,60,5.343
final_layernorm,64,5.536
final_layernorm,80,5.375
final_layernorm,96,6.496
final_layernorm,112,6.463
final_layernorm,128,6.464
final_layernorm,144,6.464
final_layernorm,160,7.456
final_layernorm,176,8.608
final_layernorm,192,8.544
final_layernorm,208,8.16
final_layernorm,224,8.608
final_layernorm,240,8.256
final_layernorm,256,7.616
layernorm,1,4.512
layernorm,2,4.464
layernorm,3,4.496
layernorm,4,4.3205
layernorm,5,4.288
layernorm,6,4.3045
layernorm,7,4.1115
layernorm,8,8.3515
layernorm,9,4.16
layernorm,10,4.128
layernorm,11,4.0155
layernorm,12,4.0475
layernorm,13,4.176
layernorm,14,4.3355
layernorm,15,4.048
layernorm,16,4.48
layernorm,20,4.304
layernorm,24,4.304
layernorm,28,4.576
layernorm,32,4.5285
layernorm,36,4.3355
layernorm,40,4.6885
layernorm,44,4.8
layernorm,48,4.576
layernorm,52,4.816
layernorm,56,4.6875
layernorm,60,4.912
layernorm,64,4.864
layernorm,80,5.28
layernorm,96,5.408
layernorm,112,5.52
layernorm,128,5.712
layernorm,144,5.76
layernorm,160,5.6315
layernorm,176,6.544
layernorm,192,7.232
layernorm,208,7.488
layernorm,224,7.12
layernorm,240,7.6
layernorm,256,7.024
o_proj,1,33.409
o_proj,2,39.551
o_proj,3,40.094
o_proj,4,41.312
o_proj,5,38.943
o_proj,6,40.032
o_proj,7,39.935
o_proj,8,40.64
o_proj,9,40.736
o_proj,10,40.032
o_proj,11,41.15
o_proj,12,40.224
o_proj,13,40.896
o_proj,14,41.12
o_proj,15,41.823
o_proj,16,41.983
o_proj,20,57.28
o_proj,24,57.984
