prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,28.512
0,0,1,32,19.839
0,0,1,64,19.904
0,0,1,128,19.296
0,0,1,256,24.129
0,0,2,16,19.712
0,0,2,32,20.289
0,0,2,64,19.392
0,0,2,128,19.456
0,0,2,256,23.872
0,0,4,16,20.129
0,0,4,32,20.512
0,0,4,64,20.864
0,0,4,128,20.32
0,0,4,256,25.952
0,0,8,16,20.992
0,0,8,32,20.288
0,0,8,64,20.352
0,0,8,128,21.505
0,0,8,256,30.432
0,0,16,16,21.12
0,0,16,32,21.696
0,0,16,64,21.314
0,0,16,128,23.456
0,0,16,256,41.567
0,0,32,16,22.144
0,0,32,32,22.4
0,0,32,64,24.288
0,0,32,128,48.704
0,0,32,256,51.936
16,0,0,0,23.552
16,0,1,16,23.04
16,0,1,32,30.24
16,0,1,64,39.007
16,0,1,128,56.896
16,0,1,256,92.736
16,0,2,16,23.328
16,0,2,32,30.528
16,0,2,64,39.456
16,0,2,128,57.695
16,0,2,256,93.694
16,0,4,16,23.103
16,0,4,32,30.208
16,0,4,64,39.104
16,0,4,128,58.432
16,0,4,256,93.759
16,0,8,16,23.04
16,0,8,32,30.623
16,0,8,64,64.511
16,0,8,128,96.447
16,0,8,256,160.766
16,0,16,16,35.68
16,0,16,32,49.087
16,0,16,64,64.958
16,0,16,128,97.407
16,0,16,256,160.606
16,16,0,0,34.784
16,16,1,16,35.232
16,16,1,32,48.352
16,16,1,64,64.448
16,16,1,128,95.903
16,16,1,256,158.911
16,16,2,16,35.327
16,16,2,32,48.736
16,16,2,64,64.672
16,16,2,128,96.064
16,16,2,256,160.351
16,16,4,16,35.52
16,16,4,32,48.799
16,16,4,64,64.256
16,16,4,128,96.127
16,16,4,256,160.734
16,16,8,16,35.84
16,16,8,32,48.384
16,16,8,64,64.48
16,16,8,128,96.832
16,16,8,256,160.191
16,16,16,16,35.744
16,16,16,32,49.375
16,16,16,64,65.089
16,16,16,128,97.504
16,16,16,256,161.247
16,32,0,0,50.24
16,32,1,16,49.728
16,32,1,32,49.919
16,32,1,64,64.256
16,32,1,128,95.935
16,32,1,256,159.103
16,32,2,16,49.856
16,32,2,32,50.208
16,32,2,64,64.383
16,32,2,128,96.894
16,32,2,256,160.415
16,32,4,16,49.92
16,32,4,32,50.4
16,32,4,64,64.255
16,32,4,128,96.416
16,32,4,256,160.478
16,32,8,16,50.208
16,32,8,32,49.728
16,32,8,64,64.768
16,32,8,128,96.607
16,32,8,256,160.126
16,32,16,16,49.92
16,32,16,32,49.792
16,32,16,64,65.375
16,32,16,128,97.696
16,32,16,256,160.927
16,64,0,0,66.72
16,64,1,16,65.983
16,64,1,32,66.079
16,64,1,64,65.793
16,64,1,128,102.751
16,64,1,256,159.549
16,64,2,16,66.112
16,64,2,32,66.048
16,64,2,64,66.144
16,64,2,128,97.185
16,64,2,256,160.031
16,64,4,16,65.567
16,64,4,32,66.047
16,64,4,64,66.143
16,64,4,128,97.024
16,64,4,256,160.67
16,64,8,16,65.375
16,64,8,32,66.272
16,64,8,64,66.367
16,64,8,128,97.279
16,64,8,256,160.606
16,64,16,16,66.848
16,64,16,32,66.558
16,64,16,64,66.496
16,64,16,128,97.663
16,64,16,256,161.246
16,128,0,0,98.175
16,128,1,16,98.623
16,128,1,32,98.271
16,128,1,64,98.496
16,128,1,128,98.335
16,128,1,256,159.583
16,128,2,16,98.528
16,128,2,32,98.847
16,128,2,64,99.327
16,128,2,128,98.271
16,128,2,256,160.542
16,128,4,16,98.208
16,128,4,32,98.559
16,128,4,64,98.079
16,128,4,128,98.143
16,128,4,256,160.191
16,128,8,16,98.815
16,128,8,32,98.527
16,128,8,64,98.399
16,128,8,128,98.719
16,128,8,256,160.862
16,128,16,16,99.038
16,128,16,32,99.456
16,128,16,64,98.944
16,128,16,128,99.487
16,128,16,256,160.767
16,256,0,0,162.494
16,256,1,16,163.327
16,256,1,32,163.103
16,256,1,64,162.879
16,256,1,128,163.231
16,256,1,256,163.069
16,256,2,16,162.911
16,256,2,32,163.423
16,256,2,64,163.359
16,256,2,128,164.062
16,256,2,256,162.911
16,256,4,16,163.295
16,256,4,32,163.102
16,256,4,64,163.294
16,256,4,128,163.678
16,256,4,256,163.359
16,256,8,16,162.464
16,256,8,32,163.326
16,256,8,64,163.358
16,256,8,128,162.815
