layer,sequences,time_us
lm_head,1,857.657
lm_head,2,861.081
lm_head,3,868.986
lm_head,4,869.848
lm_head,5,876.922
lm_head,6,876.665
lm_head,7,880.889
lm_head,8,890.041
lm_head,9,888.986
lm_head,10,891.353
lm_head,11,961.657
lm_head,12,965.945
lm_head,13,971.577
lm_head,14,975.386
lm_head,15,979.16
lm_head,16,985.239
lm_head,20,928.601
lm_head,24,935.577
lm_head,28,942.425
lm_head,32,960.57
sampler,1,25.504
sampler,2,26.337
sampler,3,26.272
sampler,4,27.296
sampler,5,31.68
sampler,6,32.768
sampler,7,33.377
sampler,8,35.968
sampler,9,40.127
sampler,10,42.529
sampler,11,44.8
sampler,12,48.16
sampler,13,53.024
sampler,14,57.312
sampler,15,57.984
sampler,16,60.192
sampler,20,71.424
sampler,24,84.672
sampler,28,95.231
sampler,32,103.871
