tokens,activated_experts,time_us
1,4,6015.16
2,4,6085.01
2,8,11597.9
4,4,6115.96
4,8,11501.2
4,16,21868.8
8,4,6131.25
8,8,13733
8,16,24656.1
8,32,45352.2
16,4,7102.74
16,8,13921.9
16,16,24670.6
16,32,45318.6
32,4,13654.4
32,8,13714.3
32,16,25321.9
32,32,45668.1
64,4,23129.2
64,8,23121.6
64,16,43159
64,32,77480.2
128,4,74021
128,8,70356.4
128,16,146683
128,32,274486
256,4,109482
256,8,110957
256,16,109289
256,32,224760
