layer,sequences,time_us
lm_head,1,1500.85
lm_head,2,1511.61
lm_head,3,1519.9
lm_head,4,1524.18
lm_head,5,1523.63
lm_head,6,1531.92
lm_head,7,1537.43
lm_head,8,1539.6
lm_head,9,1559.29
lm_head,10,1564.78
lm_head,11,1565.69
lm_head,12,1571.39
lm_head,13,1580.05
lm_head,14,1596.03
lm_head,15,1589.76
lm_head,16,1605.31
lm_head,20,1939.1
lm_head,24,1951.98
lm_head,28,1965.04
lm_head,32,1977.69
lm_head,36,3815.81
lm_head,40,3829.98
lm_head,44,3841.2
lm_head,48,3851.07
lm_head,52,3863.14
lm_head,56,3877.78
lm_head,60,3888.67
lm_head,64,3900.74
lm_head,80,2502.2
lm_head,96,2494.79
lm_head,112,2845.23
lm_head,128,2870.19
lm_head,144,4237.81
lm_head,160,4241.25
lm_head,176,4247.87
lm_head,192,4249.9
lm_head,208,4262.58
lm_head,224,4273.41
lm_head,240,4287.94
lm_head,256,4306.86
sampler,1,71.2427
sampler,2,70.752
sampler,3,71.5627
sampler,4,70.293
sampler,5,71.6907
sampler,6,74.2183
sampler,7,75.424
sampler,8,76.9177
sampler,9,78.3573
sampler,10,88.6077
sampler,11,93.9413
sampler,12,95.712
sampler,13,97.6853
sampler,14,99.7013
sampler,15,102.25
sampler,16,103.872
sampler,20,111.007
sampler,24,116.267
sampler,28,122.677
sampler,32,128.394
sampler,36,135.531
sampler,40,141.152
sampler,44,146.901
sampler,48,151.711
sampler,52,157.355
sampler,56,164.405
sampler,60,168.874
sampler,64,176.384
sampler,80,203.487
sampler,96,248.372
sampler,112,273.621
sampler,128,302.165
sampler,144,330.196
sampler,160,359.061
sampler,176,398.634
sampler,192,652.35
sampler,208,1298.71
sampler,224,485.737
sampler,240,732.767
sampler,256,562.986
