prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
32,16,8,128,120.607
32,16,8,256,198.686
32,16,16,16,70.783
32,16,16,32,99.936
32,16,16,64,141.919
32,16,16,128,223.934
32,16,16,256,380.125
32,32,0,0,39.776
32,32,1,16,40
32,32,1,32,40.32
32,32,1,64,51.424
32,32,1,128,75.359
32,32,1,256,123.166
32,32,2,16,39.615
32,32,2,32,40.319
32,32,2,64,52.287
32,32,2,128,76.638
32,32,2,256,124.191
32,32,4,16,43.553
32,32,4,32,52.064
32,32,4,64,71.296
32,32,4,128,111.647
32,32,4,256,189.982
32,32,8,16,47.488
32,32,8,32,56.639
32,32,8,64,78.719
32,32,8,128,120.255
32,32,8,256,199.998
32,32,16,16,80.543
32,32,16,32,100.159
32,32,16,64,141.213
32,32,16,128,222.496
32,32,16,256,384.637
32,64,0,0,51.967
32,64,1,16,51.967
32,64,1,32,52.255
32,64,1,64,52.127
32,64,1,128,75.391
32,64,1,256,122.911
32,64,2,16,51.679
32,64,2,32,52.192
32,64,2,64,53.056
32,64,2,128,78.367
32,64,2,256,124.319
32,64,4,16,54.816
32,64,4,32,63.744
32,64,4,64,72.64
32,64,4,128,110.815
32,64,4,256,190.911
32,64,8,16,58.943
32,64,8,32,67.392
32,64,8,64,80.448
32,64,8,128,121.503
32,64,8,256,199.743
32,64,16,16,83.198
32,64,16,32,110.815
32,64,16,64,141.855
32,64,16,128,222.27
32,64,16,256,380.093
32,128,0,0,84.255
32,128,1,16,75.936
32,128,1,32,75.648
32,128,1,64,75.902
32,128,1,128,76
32,128,1,256,123.071
32,128,2,16,76.191
32,128,2,32,75.647
32,128,2,64,77.183
32,128,2,128,76.256
32,128,2,256,125.151
32,128,4,16,77.535
32,128,4,32,87.455
32,128,4,64,96.703
32,128,4,128,113.215
32,128,4,256,189.79
32,128,8,16,82.976
32,128,8,32,92.447
32,128,8,64,102.208
32,128,8,128,120.768
32,128,8,256,199.005
32,128,16,16,117.151
32,128,16,32,158.303
32,128,16,64,179.262
32,128,16,128,223.358
32,128,16,256,380.413
32,256,0,0,122.686
32,256,1,16,122.463
32,256,1,32,122.431
32,256,1,64,122.783
32,256,1,128,123.103
32,256,1,256,122.911
32,256,2,16,122.27
32,256,2,32,122.751
32,256,2,64,123.519
32,256,2,128,123.775
32,256,2,256,125.279
32,256,4,16,124.959
32,256,4,32,134.655
32,256,4,64,143.231
32,256,4,128,157.919
32,256,4,256,192.286
32,256,8,16,130.112
32,256,8,32,138.367
32,256,8,64,149.374
32,256,8,128,166.173
32,256,8,256,200.222
32,256,16,16,215.966
32,256,16,32,198.526
32,256,16,64,209.375
32,256,16,128,266.078
32,256,16,256,383.165
64,0,0,0,40.48
64,0,1,16,43.104
64,0,1,32,51.583
64,0,1,64,62.111
64,0,1,128,85.248
64,0,1,256,133.215
64,0,2,16,43.904
64,0,2,32,51.551
64,0,2,64,62.304
64,0,2,128,86.431
64,0,2,256,134.303
64,0,4,16,51.999
64,0,4,32,52.063
64,0,4,64,72.224
64,0,4,128,113.024
64,0,4,256,195.743
64,0,8,16,68.512
64,0,8,32,87.199
64,0,8,64,106.27
64,0,8,128,145.566
64,0,8,256,227.646
64,0,16,16,77.312
64,0,16,32,98.719
64,0,16,64,140.83
64,0,16,128,220.798
64,0,16,256,383.133
64,16,0,0,52.031
64,16,1,16,63.262
64,16,1,32,62.143
64,16,1,64,72.096
64,16,1,128,93.503
64,16,1,256,137.695
64,16,2,16,53.663
64,16,2,32,62.207
64,16,2,64,72.734
64,16,2,128,93.343
64,16,2,256,141.087
64,16,4,16,63.423
64,16,4,32,63.391
64,16,4,64,71.457
64,16,4,128,112.223
64,16,4,256,191.166
64,16,8,16,89.76
64,16,8,32,98.335
64,16,8,64,117.343
64,16,8,128,145.823
64,16,8,256,236.094
64,16,16,16,99.967
64,16,16,32,118.623
64,16,16,64,143.775
64,16,16,128,221.727
64,16,16,256,383.421
64,32,0,0,52.703
64,32,1,16,62.4
64,32,1,32,63.391
64,32,1,64,73.215
64,32,1,128,93.151
64,32,1,256,138.816
64,32,2,16,63.263
64,32,2,32,64.607
64,32,2,64,71.424
64,32,2,128,94.047
64,32,2,256,143.935
64,32,4,16,71.552
64,32,4,32,73.599
64,32,4,64,72.863
64,32,4,128,113.087
64,32,4,256,192.959
64,32,8,16,75.136
64,32,8,32,91.936
64,32,8,64,128.607
64,32,8,128,169.47
64,32,8,256,245.791
64,32,16,16,100.959
64,32,16,32,120.863
64,32,16,64,141.982
64,32,16,128,223.134
64,32,16,256,384.412
64,64,0,0,63.456
64,64,1,16,82.559
64,64,1,32,82.623
64,64,1,64,84.032
64,64,1,128,100.191
64,64,1,256,147.455
64,64,2,16,82.271
64,64,2,32,83.232
64,64,2,64,84.351
64,64,2,128,102.911
64,64,2,256,149.855
64,64,4,16,91.359
64,64,4,32,93.376
64,64,4,64,93.088
64,64,4,128,111.967
64,64,4,256,192.959
64,64,8,16,96.671
64,64,8,32,105.216
64,64,8,64,129.981
64,64,8,128,188.446
64,64,8,256,268.317
64,64,16,16,110.174
64,64,16,32,147.391
64,64,16,64,169.44
64,64,16,128,227.839
64,64,16,256,383.229
64,128,0,0,87.616
64,128,1,16,121.407
64,128,1,32,121.919
64,128,1,64,121.152
64,128,1,128,123.327
64,128,1,256,165.117
64,128,2,16,120.895
64,128,2,32,121.631
64,128,2,64,121.118
64,128,2,128,122.015
64,128,2,256,167.519
64,128,4,16,131.455
64,128,4,32,131.967
64,128,4,64,132.031
64,128,4,128,130.975
64,128,4,256,192.096
64,128,8,16,133.215
64,128,8,32,137.663
64,128,8,64,168.959
64,128,8,128,187.103
64,128,8,256,307.998
64,128,16,16,159.135
64,128,16,32,168.863
64,128,16,64,226.846
64,128,16,128,241.182
64,128,16,256,388.893
64,256,0,0,134.975
64,256,1,16,199.967
64,256,1,32,201.342
64,256,1,64,202.463
64,256,1,128,201.727
64,256,1,256,202.143
64,256,2,16,202.143
64,256,2,32,201.342
64,256,2,64,201.31
