tokens,activated_experts,time_us
1,4,6215.63
2,4,6306.17
2,8,12109.3
4,4,6343.79
4,8,12037.8
4,16,22414.7
8,4,6327.34
8,8,12092.7
8,16,22567.7
8,32,41302.3
16,4,6252.22
16,8,12036.8
16,16,22394.1
16,32,41260.8
32,4,12089.8
32,8,12035.5
32,16,22866.3
32,32,41473.7
64,4,19883.6
64,8,20008.7
64,16,38992.1
64,32,70301.6
128,4,69883.9
128,8,69892.9
128,16,148940
128,32,283969
256,4,117518
256,8,116929
256,16,117572
256,32,235650
