prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,37.087
0,0,1,32,28.224
0,0,1,64,27.392
0,0,1,128,33.024
0,0,1,256,35.776
0,0,2,16,27.903
0,0,2,32,27.712
0,0,2,64,28.384
0,0,2,128,30.399
0,0,2,256,43.52
0,0,4,16,28.064
0,0,4,32,28.799
0,0,4,64,30.815
0,0,4,128,31.84
0,0,4,256,55.486
0,0,8,16,32.255
0,0,8,32,33.024
0,0,8,64,35.424
0,0,8,128,54.24
0,0,8,256,74.72
0,0,16,16,36.32
0,0,16,32,43.232
0,0,16,64,57.375
0,0,16,128,81.088
0,0,16,256,130.461
0,0,32,16,61.823
0,0,32,32,72.831
0,0,32,64,95.264
0,0,32,128,140.032
0,0,32,256,223.743
16,0,0,0,32.832
16,0,1,16,33.088
16,0,1,32,44.992
16,0,1,64,58.75
16,0,1,128,87.615
16,0,1,256,145.055
16,0,2,16,32.863
16,0,2,32,44.479
16,0,2,64,58.815
16,0,2,128,87.392
16,0,2,256,144.607
16,0,4,16,32.734
16,0,4,32,44.768
16,0,4,64,60.16
16,0,4,128,89.12
16,0,4,256,147.55
16,0,8,16,35.583
16,0,8,32,49.471
16,0,8,64,64.415
16,0,8,128,93.248
16,0,8,256,153.119
16,0,16,16,36.608
16,0,16,32,61.792
16,0,16,64,86.687
16,0,16,128,134.911
16,0,16,256,231.006
16,16,0,0,32.288
16,16,1,16,33.024
16,16,1,32,44.768
16,16,1,64,58.943
16,16,1,128,87.487
16,16,1,256,144.799
16,16,2,16,32.703
16,16,2,32,44.799
16,16,2,64,58.72
16,16,2,128,87.743
16,16,2,256,145.216
16,16,4,16,32.416
16,16,4,32,45.472
16,16,4,64,60.031
16,16,4,128,89.311
16,16,4,256,147.871
16,16,8,16,35.616
16,16,8,32,49.919
16,16,8,64,63.584
16,16,8,128,94.495
16,16,8,256,153.407
16,16,16,16,36.416
16,16,16,32,62.08
16,16,16,64,86.111
16,16,16,128,134.143
16,16,16,256,230.077
16,32,0,0,45.055
16,32,1,16,45.152
16,32,1,32,46.016
16,32,1,64,59.198
16,32,1,128,87.711
16,32,1,256,144.895
16,32,2,16,45.727
16,32,2,32,45.312
16,32,2,64,59.36
16,32,2,128,87.712
16,32,2,256,144.383
16,32,4,16,45.279
16,32,4,32,45.44
16,32,4,64,59.52
16,32,4,128,88.863
16,32,4,256,147.711
16,32,8,16,48.031
16,32,8,32,59.232
16,32,8,64,74.559
16,32,8,128,103.585
16,32,8,256,160.671
16,32,16,16,49.791
16,32,16,32,61.984
16,32,16,64,85.599
16,32,16,128,134.143
16,32,16,256,230.302
16,64,0,0,59.808
16,64,1,16,59.871
16,64,1,32,60.223
16,64,1,64,60.19
16,64,1,128,88.192
16,64,1,256,144.895
16,64,2,16,60.095
16,64,2,32,59.999
16,64,2,64,60.512
16,64,2,128,87.679
16,64,2,256,145.215
16,64,4,16,60.416
16,64,4,32,60.095
16,64,4,64,60.351
16,64,4,128,88.607
16,64,4,256,147.391
16,64,8,16,64.8
16,64,8,32,74.015
16,64,8,64,85.567
16,64,8,128,115.007
16,64,8,256,173.982
16,64,16,16,64.671
16,64,16,32,75.582
16,64,16,64,87.551
16,64,16,128,133.151
16,64,16,256,231.517
16,128,0,0,89.695
16,128,1,16,89.184
16,128,1,32,88.959
16,128,1,64,89.151
16,128,1,128,89.279
16,128,1,256,145.056
16,128,2,16,88.992
16,128,2,32,89.344
16,128,2,64,89.408
16,128,2,128,89.151
16,128,2,256,144.832
16,128,4,16,89.183
16,128,4,32,89.279
16,128,4,64,89.088
16,128,4,128,89.023
16,128,4,256,146.783
16,128,8,16,93.439
16,128,8,32,104.191
16,128,8,64,111.071
16,128,8,128,131.871
16,128,8,256,192.576
16,128,16,16,94.335
16,128,16,32,105.857
16,128,16,64,115.647
16,128,16,128,135.935
16,128,16,256,231.135
16,256,0,0,147.583
16,256,1,16,147.103
16,256,1,32,146.847
16,256,1,64,147.231
16,256,1,128,147.743
16,256,1,256,147.006
16,256,2,16,147.167
16,256,2,32,147.231
16,256,2,64,147.647
16,256,2,128,147.265
16,256,2,256,147.838
16,256,4,16,146.911
16,256,4,32,147.423
16,256,4,64,147.326
16,256,4,128,147.486
16,256,4,256,147.358
16,256,8,16,150.015
16,256,8,32,162.046
16,256,8,64,172.51
16,256,8,128,190.815
16,256,8,256,230.109
16,256,16,16,150.527
16,256,16,32,162.206
16,256,16,64,173.472
16,256,16,128,193.662
16,256,16,256,234.814
32,0,0,0,32.607
32,0,1,16,32.576
32,0,1,32,45.952
32,0,1,64,59.647
32,0,1,128,88.639
32,0,1,256,145.631
32,0,2,16,32.961
32,0,2,32,44.607
32,0,2,64,59.105
32,0,2,128,87.615
32,0,2,256,144.767
32,0,4,16,35.904
32,0,4,32,49.024
32,0,4,64,63.488
32,0,4,128,92.319
32,0,4,256,151.711
32,0,8,16,36.126
32,0,8,32,60.51
32,0,8,64,83.103
32,0,8,128,131.583
32,0,8,256,228.703
32,0,16,16,36.96
32,0,16,32,61.79
32,0,16,64,85.216
32,0,16,128,134.335
32,0,16,256,231.806
32,16,0,0,45.697
32,16,1,16,46.272
32,16,1,32,45.984
32,16,1,64,58.624
32,16,1,128,87.359
32,16,1,256,144.734
32,16,2,16,45.343
32,16,2,32,45.535
32,16,2,64,59.04
32,16,2,128,87.743
32,16,2,256,144.639
32,16,4,16,50.272
32,16,4,32,59.935
32,16,4,64,74.623
32,16,4,128,102.175
32,16,4,256,158.047
32,16,8,16,61.248
32,16,8,32,61.631
32,16,8,64,85.407
32,16,8,128,131.615
32,16,8,256,228.159
32,16,16,16,61.408
32,16,16,32,61.824
32,16,16,64,85.439
32,16,16,128,134.335
32,16,16,256,231.774
32,32,0,0,46.4
32,32,1,16,46.207
32,32,1,32,46.175
32,32,1,64,59.327
32,32,1,128,88.128
32,32,1,256,145.247
32,32,2,16,46.366
32,32,2,32,46.303
32,32,2,64,59.615
32,32,2,128,88.063
32,32,2,256,144.767
32,32,4,16,61.951
32,32,4,32,62.016
32,32,4,64,74.336
32,32,4,128,103.711
32,32,4,256,158.847
32,32,8,16,61.536
32,32,8,32,61.599
32,32,8,64,84.736
32,32,8,128,131.551
32,32,8,256,229.823
32,32,16,16,62.432
32,32,16,32,62.303
32,32,16,64,86.111
32,32,16,128,133.568
32,32,16,256,231.999
32,64,0,0,60.638
32,64,1,16,60.448
32,64,1,32,60.416
32,64,1,64,60.447
32,64,1,128,87.87
32,64,1,256,145.023
32,64,2,16,60.799
32,64,2,32,60.895
32,64,2,64,60.927
32,64,2,128,88.192
32,64,2,256,145.471
32,64,4,16,86.046
32,64,4,32,85.919
32,64,4,64,86.367
32,64,4,128,114.591
32,64,4,256,170.367
32,64,8,16,86.463
32,64,8,32,85.726
32,64,8,64,86.686
32,64,8,128,131.359
32,64,8,256,230.622
32,64,16,16,86.976
32,64,16,32,87.007
32,64,16,64,87.775
