layer,sequences,time_us
lm_head,1,876.249
lm_head,2,882.585
lm_head,3,885.594
lm_head,4,894.106
lm_head,5,901.337
lm_head,6,903.513
lm_head,7,901.754
lm_head,8,908.738
lm_head,9,904.283
lm_head,10,907.384
lm_head,11,993.816
lm_head,12,996.921
lm_head,13,998.713
lm_head,14,1004.95
lm_head,15,995.289
lm_head,16,1006.23
lm_head,20,1164.5
lm_head,24,1173.69
lm_head,28,1195.03
lm_head,32,1204.86
sampler,1,35.553
sampler,2,36.48
sampler,3,36.543
sampler,4,39.231
sampler,5,44.065
sampler,6,45.408
sampler,7,47.392
sampler,8,50.08
sampler,9,55.872
sampler,10,56.895
sampler,11,59.967
sampler,12,63.903
sampler,13,66.272
sampler,14,69.824
sampler,15,72.928
sampler,16,76.544
sampler,20,88.864
sampler,24,103.072
sampler,28,114.078
sampler,32,119.359
