layer,sequences,time_us
lm_head,1,1318.58
lm_head,2,1303.96
lm_head,3,1323.7
lm_head,4,1333.53
lm_head,5,1318.64
lm_head,6,1332.66
lm_head,7,1359.51
lm_head,8,1365.62
lm_head,9,1373.62
lm_head,10,1356.76
lm_head,11,1497.91
lm_head,12,1526.71
lm_head,13,1521.4
lm_head,14,1531.12
lm_head,15,1544.15
lm_head,16,1538.87
lm_head,20,1662
lm_head,24,1678.35
lm_head,28,1708.37
lm_head,32,1748.08
sampler,1,45.536
sampler,2,46.208
sampler,3,49.471
sampler,4,49.375
sampler,5,57.184
sampler,6,58.591
sampler,7,63.903
sampler,8,65.503
sampler,9,71.775
sampler,10,77.056
sampler,11,85.601
sampler,12,90.047
sampler,13,92.929
sampler,14,100.159
sampler,15,103.678
sampler,16,102.241
sampler,20,121.856
sampler,24,144.031
sampler,28,160.223
sampler,32,169.918
