tokens,activated_experts,time_us
1,8,10313.6
2,8,10394.2
2,16,19969
4,8,10346.8
4,16,19834.1
4,32,38239.6
8,8,10359.1
8,16,19959.1
8,32,38026
8,64,71851.7
16,8,10386.5
16,16,19916.4
16,32,37889.7
16,64,71837.3
16,128,139573
32,8,19907.5
32,16,19897.4
32,32,38049.6
32,64,71780.3
32,128,139629
64,8,32302.4
64,16,32291.9
64,32,63850.7
64,64,120013
64,128,234945
128,8,135550
128,16,135095
128,32,262874
128,64,513412
128,128,997026
256,8,190112
256,16,190426
256,32,190134
256,64,376353
256,128,731522
