layer,sequences,time_us
lm_head,1,434.877
lm_head,2,438.973
lm_head,3,438.497
lm_head,4,434.908
lm_head,5,442.076
lm_head,6,441.757
lm_head,7,446.62
lm_head,8,440.893
lm_head,9,442.46
lm_head,10,444.861
lm_head,11,435.965
lm_head,12,435.389
lm_head,13,441.693
lm_head,14,444.828
lm_head,15,449.853
lm_head,16,447.741
lm_head,20,471.516
lm_head,24,473.885
lm_head,28,472.413
lm_head,32,468.476
sampler,1,26.432
sampler,2,27.52
sampler,3,28.64
sampler,4,27.647
sampler,5,26.816
sampler,6,28.862
sampler,7,27.904
sampler,8,28.96
sampler,9,29.217
sampler,10,27.969
sampler,11,28.288
sampler,12,28.639
sampler,13,29.312
sampler,14,29.056
sampler,15,28.831
sampler,16,29.533
sampler,20,29.92
sampler,24,33.153
sampler,28,35.424
sampler,32,37.472
