layer,sequences,time_us
lm_head,1,474.049
lm_head,2,477.435
lm_head,3,480.38
lm_head,4,488.157
lm_head,5,486.172
lm_head,6,486.268
lm_head,7,484.988
lm_head,8,485.884
lm_head,9,491.229
lm_head,10,455.484
lm_head,11,462.429
lm_head,12,460.989
lm_head,13,456.83
lm_head,14,456.508
lm_head,15,460.06
lm_head,16,459.005
lm_head,20,548.123
lm_head,24,516.412
lm_head,28,562.428
lm_head,32,523.357
sampler,1,37.216
sampler,2,37.568
sampler,3,38.528
sampler,4,37.951
sampler,5,36.287
sampler,6,38.24
sampler,7,38.366
sampler,8,39.648
sampler,9,39.166
sampler,10,38.624
sampler,11,38.816
sampler,12,38.56
sampler,13,38.207
sampler,14,40.127
sampler,15,39.553
sampler,16,40.831
sampler,20,40.832
sampler,24,45.119
sampler,28,46.336
sampler,32,47.776
