tokens,activated_experts,time_us
1,2,3664.55
2,2,3691.59
2,4,5507.19
4,2,3686.98
4,4,5527.89
4,8,8540.28
8,2,3676.23
8,4,5498.16
8,8,8556.7
8,16,14369.7
16,2,3697.06
16,4,5522.25
16,8,8595.09
16,16,14359.8
32,2,5487.89
32,4,5497.43
32,8,8595.07
32,16,14420.2
64,2,9260.67
64,4,9288.37
64,8,14259.9
64,16,23848
128,2,39191
128,4,39180.3
128,8,60421.9
128,16,98835.4
256,2,38764.2
256,4,39328.6
256,8,38454.7
256,16,69827.8
