tokens,activated_experts,time_us
1,2,3228.45
2,2,3241.58
2,4,4990.17
4,2,3243.91
4,4,5004.18
4,8,7939.07
8,2,3247.21
8,4,5021.85
8,8,8010.47
8,16,13749.4
16,2,3246.21
16,4,5012.35
16,8,8015.77
16,16,13796.2
32,2,5037.82
32,4,4987.13
32,8,7983.1
32,16,13768.5
64,2,8265.95
64,4,8292.96
64,8,12941
64,16,22743.5
128,2,34310.2
128,4,34417
128,8,54271.3
128,16,91678.6
256,2,35517.5
256,4,35403.6
256,8,34686.3
256,16,65772.4
