layer,sequences,time_us
lm_head,1,453.5
lm_head,2,447.676
lm_head,3,457.212
lm_head,4,459.617
lm_head,5,458.237
lm_head,6,460.349
lm_head,7,465.34
lm_head,8,462.076
lm_head,9,460.316
lm_head,10,465.629
lm_head,11,445.406
lm_head,12,448.06
lm_head,13,451.579
lm_head,14,454.332
lm_head,15,447.516
lm_head,16,449.469
lm_head,20,471.228
lm_head,24,473.533
lm_head,28,458.236
lm_head,32,460.252
sampler,1,31.744
sampler,2,31.455
sampler,3,32.896
sampler,4,32.128
sampler,5,31.167
sampler,6,33.056
sampler,7,32.576
sampler,8,33.597
sampler,9,33.536
sampler,10,32.192
sampler,11,33.856
sampler,12,33.888
sampler,13,32.192
sampler,14,34.336
sampler,15,33.696
sampler,16,34.176
sampler,20,34.624
sampler,24,38.783
sampler,28,39.136
sampler,32,40.927
