prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,25.665
0,0,1,32,26.08
0,0,1,64,25.633
0,0,1,128,26.336
0,0,1,256,32.415
0,0,2,16,25.439
0,0,2,32,25.408
0,0,2,64,25.248
0,0,2,128,25.471
0,0,2,256,32.192
0,0,4,16,25.183
0,0,4,32,26.144
0,0,4,64,26.624
0,0,4,128,32.256
0,0,4,256,42.559
0,0,8,16,25.888
0,0,8,32,27.424
0,0,8,64,33.536
0,0,8,128,45.409
0,0,8,256,61.504
0,0,16,16,30.496
0,0,16,32,34.24
0,0,16,64,47.392
0,0,16,128,66.88
0,0,16,256,101.407
0,0,32,16,46.273
0,0,32,32,56.543
0,0,32,64,74.431
0,0,32,128,110.526
0,0,32,256,177.598
16,0,0,0,29.728
16,0,1,16,27.872
16,0,1,32,38.943
16,0,1,64,51.039
16,0,1,128,74.654
16,0,1,256,122.782
16,0,2,16,28.8
16,0,2,32,38.687
16,0,2,64,50.304
16,0,2,128,74.272
16,0,2,256,121.056
16,0,4,16,28.864
16,0,4,32,39.04
16,0,4,64,51.424
16,0,4,128,75.264
16,0,4,256,122.976
16,0,8,16,29.152
16,0,8,32,39.552
16,0,8,64,51.553
16,0,8,128,76.223
16,0,8,256,124.928
16,0,16,16,30.623
16,0,16,32,51.808
16,0,16,64,71.712
16,0,16,128,110.719
16,0,16,256,192.063
16,16,0,0,29.024
16,16,1,16,28.736
16,16,1,32,39.36
16,16,1,64,50.655
16,16,1,128,74.943
16,16,1,256,122.719
16,16,2,16,29.185
16,16,2,32,38.752
16,16,2,64,51.041
16,16,2,128,74.272
16,16,2,256,121.824
16,16,4,16,29.055
16,16,4,32,39.104
16,16,4,64,51.775
16,16,4,128,75.584
16,16,4,256,123.103
16,16,8,16,29.216
16,16,8,32,39.36
16,16,8,64,52.287
16,16,8,128,76.096
16,16,8,256,124.478
16,16,16,16,30.496
16,16,16,32,51.583
16,16,16,64,72.32
16,16,16,128,111.423
16,16,16,256,191.902
16,32,0,0,40.064
16,32,1,16,39.392
16,32,1,32,39.263
16,32,1,64,50.912
16,32,1,128,75.039
16,32,1,256,122.4
16,32,2,16,39.679
16,32,2,32,39.424
16,32,2,64,50.975
16,32,2,128,74.335
16,32,2,256,120.927
16,32,4,16,39.519
16,32,4,32,39.872
16,32,4,64,51.103
16,32,4,128,75.423
16,32,4,256,123.519
16,32,8,16,39.584
16,32,8,32,39.711
16,32,8,64,52.511
16,32,8,128,76.512
16,32,8,256,123.805
16,32,16,16,41.408
16,32,16,32,51.488
16,32,16,64,71.872
16,32,16,128,111.039
16,32,16,256,192.32
16,64,0,0,51.455
16,64,1,16,50.72
16,64,1,32,51.646
16,64,1,64,51.073
16,64,1,128,74.943
16,64,1,256,123.55
16,64,2,16,51.521
16,64,2,32,51.456
16,64,2,64,51.551
16,64,2,128,74.304
16,64,2,256,121.311
16,64,4,16,51.2
16,64,4,32,51.199
16,64,4,64,51.743
16,64,4,128,75.999
16,64,4,256,124.031
16,64,8,16,51.936
16,64,8,32,51.2
16,64,8,64,51.776
16,64,8,128,75.935
16,64,8,256,124.863
16,64,16,16,54.208
16,64,16,32,63.103
16,64,16,64,71.936
16,64,16,128,110.687
16,64,16,256,191.006
16,128,0,0,76.32
16,128,1,16,75.232
16,128,1,32,75.296
16,128,1,64,75.456
16,128,1,128,75.071
16,128,1,256,123.487
16,128,2,16,75.487
16,128,2,32,75.391
16,128,2,64,75.2
16,128,2,128,75.456
16,128,2,256,121.375
16,128,4,16,75.359
16,128,4,32,75.488
16,128,4,64,75.359
16,128,4,128,76
16,128,4,256,123.647
16,128,8,16,75.711
16,128,8,32,74.815
16,128,8,64,75.295
16,128,8,128,76.03
16,128,8,256,123.359
16,128,16,16,76.095
16,128,16,32,86.367
16,128,16,64,95.358
16,128,16,128,110.911
16,128,16,256,192.094
16,256,0,0,123.967
16,256,1,16,123.2
16,256,1,32,122.751
16,256,1,64,123.007
16,256,1,128,122.399
16,256,1,256,122.911
16,256,2,16,122.655
16,256,2,32,123.166
16,256,2,64,122.879
16,256,2,128,123.678
16,256,2,256,123.103
16,256,4,16,123.551
16,256,4,32,123.742
16,256,4,64,123.55
16,256,4,128,123.006
16,256,4,256,123.198
16,256,8,16,123.006
16,256,8,32,122.592
16,256,8,64,123.007
16,256,8,128,123.519
16,256,8,256,124.607
16,256,16,16,125.183
16,256,16,32,133.631
16,256,16,64,143.711
16,256,16,128,157.759
16,256,16,256,192.03
32,0,0,0,29.088
32,0,1,16,29.536
32,0,1,32,39.104
32,0,1,64,50.976
