layer,sequences,time_us
lm_head,1,858.105
lm_head,2,860.954
lm_head,3,869.178
lm_head,4,873.498
lm_head,5,877.528
lm_head,6,878.393
lm_head,7,885.337
lm_head,8,884.506
lm_head,9,890.905
lm_head,10,893.849
lm_head,11,958.672
lm_head,12,961.178
lm_head,13,967.193
lm_head,14,973.008
lm_head,15,974.872
lm_head,16,981.459
lm_head,20,931.097
lm_head,24,949.401
lm_head,28,953.817
lm_head,32,964.376
sampler,1,26.688
sampler,2,27.552
sampler,3,27.618
sampler,4,28.928
sampler,5,31.872
sampler,6,34.464
sampler,7,35.84
sampler,8,37.022
sampler,9,42.335
sampler,10,43.104
sampler,11,47.487
sampler,12,50.688
sampler,13,53.183
sampler,14,57.246
sampler,15,60.288
sampler,16,61.503
sampler,20,72.159
sampler,24,87.295
sampler,28,97.663
sampler,32,107.52
