layer,tokens,time_us
layernorm,512,8.192
layernorm,528,8.18667
layernorm,544,8.55467
layernorm,560,8.5225
layernorm,576,9.21033
layernorm,592,9.4185
layernorm,608,9.664
layernorm,624,9.78633
layernorm,640,9.87733
layernorm,656,11.2585
layernorm,672,11.3278
layernorm,688,11.5627
layernorm,704,12.309
layernorm,720,12.656
layernorm,736,12.8853
layernorm,752,13.3655
layernorm,768,13.1252
layernorm,784,13.7065
layernorm,800,14.075
layernorm,816,14.7145
layernorm,832,14.5118
layernorm,848,15.0402
layernorm,864,15.237
layernorm,880,15.5307
layernorm,896,15.3227
layernorm,912,14.9547
layernorm,928,15.7278
layernorm,944,16.0535
layernorm,960,15.5997
layernorm,976,16.384
layernorm,992,17.0398
layernorm,1008,17.3918
layernorm,1024,17.429
layernorm,1040,17.9945
layernorm,1056,18.688
layernorm,1072,18.5867
layernorm,1088,19.0293
layernorm,1104,19.4397
layernorm,1120,19.4665
layernorm,1136,19.7438
layernorm,1152,20.0853
layernorm,1168,19.6158
layernorm,1184,19.4557
layernorm,1200,20.1543
layernorm,1216,20.1598
layernorm,1232,20.8047
layernorm,1248,20.4372
layernorm,1264,20.9013
layernorm,1280,21.0773
layernorm,1296,21.8612
layernorm,1312,22.0217
layernorm,1328,22.2398
layernorm,1344,22.8903
layernorm,1360,23.1252
layernorm,1376,23.9465
layernorm,1392,24.7517
layernorm,1408,24.6827
layernorm,1424,25.9728
layernorm,1440,26.3997
layernorm,1456,27.4237
layernorm,1472,27.3547
layernorm,1488,27.6588
layernorm,1504,28.3785
layernorm,1520,28.7947
layernorm,1536,29.8128
layernorm,1552,29.9307
layernorm,1568,29.9305
layernorm,1584,30.5973
layernorm,1600,30.912
layernorm,1616,31.5408
layernorm,1632,32.0105
layernorm,1648,32.2505
layernorm,1664,32.6343
layernorm,1680,32.2663
layernorm,1696,32.0373
layernorm,1712,32.3893
layernorm,1728,32.9757
layernorm,1744,33.2372
layernorm,1760,33.8025
layernorm,1776,33.5892
layernorm,1792,34.2667
layernorm,1808,35.184
layernorm,1824,35.0613
layernorm,1840,36.1113
layernorm,1856,36.133
