layer,tokens,time_us
qkv_proj,240,217.086
qkv_proj,256,209.342
rotary_emb,1,7.968
rotary_emb,2,8.928
rotary_emb,3,8.928
rotary_emb,4,8.288
rotary_emb,5,8.895
rotary_emb,6,9.536
rotary_emb,7,8.288
rotary_emb,8,8.608
rotary_emb,9,8.768
rotary_emb,10,9.664
rotary_emb,11,8.672
rotary_emb,12,9.055
rotary_emb,13,8.832
rotary_emb,14,8.192
rotary_emb,15,8.256
rotary_emb,16,8.192
rotary_emb,20,8.576
rotary_emb,24,8.288
rotary_emb,28,10.496
rotary_emb,32,8.736
rotary_emb,36,8.736
rotary_emb,40,8.735
rotary_emb,44,9.184
rotary_emb,48,8.608
rotary_emb,52,8.64
rotary_emb,56,8.608
rotary_emb,60,8.544
rotary_emb,64,9.152
rotary_emb,80,8.768
rotary_emb,96,10.208
rotary_emb,112,10.464
rotary_emb,128,10.656
rotary_emb,144,11.999
rotary_emb,160,11.072
rotary_emb,176,13.504
rotary_emb,192,14.656
rotary_emb,208,13.568
rotary_emb,224,13.824
rotary_emb,240,13.344
rotary_emb,256,15.392
