tokens,activated_experts,time_us
1,4,6022.36
2,4,6107.19
2,8,11506.7
4,4,6076.05
4,8,11539.6
4,16,22006.8
8,4,6133.72
8,8,11481.4
8,16,21978.8
8,32,40716.7
16,4,6095.05
16,8,11520.9
16,16,22039.4
16,32,40590.3
32,4,11564.2
32,8,11573.7
32,16,22349.9
32,32,40827.5
64,4,18750.7
64,8,18637.3
64,16,38119.5
64,32,69138.4
128,4,67158.9
128,8,67343.5
128,16,142409
128,32,274634
256,4,111506
256,8,111658
256,16,109609
256,32,225049
