layer,sequences,time_us
lm_head,1,853.882
lm_head,2,860.057
lm_head,3,861.945
lm_head,4,869.594
lm_head,5,876.473
lm_head,6,879.289
lm_head,7,886.491
lm_head,8,881.849
lm_head,9,905.209
lm_head,10,888.825
lm_head,11,959.48
lm_head,12,962.552
lm_head,13,964.121
lm_head,14,976.088
lm_head,15,976.055
lm_head,16,979.48
lm_head,20,923.577
lm_head,24,930.36
lm_head,28,946.809
lm_head,32,959.609
sampler,1,25.375
sampler,2,26.144
sampler,3,26.112
sampler,4,27.901
sampler,5,30.88
sampler,6,32.96
sampler,7,35.071
sampler,8,35.616
sampler,9,41.152
sampler,10,44.225
sampler,11,45.152
sampler,12,48.8
sampler,13,52.575
sampler,14,56.224
sampler,15,58.048
sampler,16,60.895
sampler,20,70.975
sampler,24,86.144
sampler,28,95.935
sampler,32,100.513
