layer,tokens,time_us
embedding,1,5.056
embedding,2,5.152
embedding,3,5.376
embedding,4,5.792
embedding,5,6.528
embedding,6,6.624
embedding,7,7.327
embedding,8,6.976
embedding,9,7.712
embedding,10,7.905
embedding,11,8.224
embedding,12,8.384
embedding,13,8.672
embedding,14,9.249
embedding,15,9.215
embedding,16,9.728
embedding,20,4.862
embedding,24,4.256
embedding,28,4.448
embedding,32,4.32
embedding,36,4.543
embedding,40,4.448
embedding,44,4.672
embedding,48,4.608
embedding,52,5.024
embedding,56,5.056
embedding,60,4.864
embedding,64,5.28
embedding,80,5.759
embedding,96,5.024
embedding,112,16.447
embedding,128,5.185
embedding,144,5.44
embedding,160,5.537
embedding,176,5.568
embedding,192,5.76
embedding,208,5.632
embedding,224,5.632
embedding,240,5.824
embedding,256,5.856
final_layernorm,1,3.968
final_layernorm,2,3.904
final_layernorm,3,4.192
final_layernorm,4,3.808
final_layernorm,5,4.32
final_layernorm,6,3.84
final_layernorm,7,3.84
final_layernorm,8,3.872
final_layernorm,9,12.352
final_layernorm,10,4.064
final_layernorm,11,3.808
final_layernorm,12,4.288
final_layernorm,13,4.096
final_layernorm,14,4.192
final_layernorm,15,4.064
final_layernorm,16,4.288
final_layernorm,20,4.128
final_layernorm,24,4.384
final_layernorm,28,4.256
final_layernorm,32,4.576
final_layernorm,36,4.544
final_layernorm,40,4.352
final_layernorm,44,4.704
final_layernorm,48,4.8
final_layernorm,52,5.024
final_layernorm,56,4.736
final_layernorm,60,5.248
final_layernorm,64,5.568
final_layernorm,80,5.472
final_layernorm,96,5.44
final_layernorm,112,6.304
final_layernorm,128,6.08
final_layernorm,144,6.015
final_layernorm,160,6.976
final_layernorm,176,8.8
final_layernorm,192,8.704
final_layernorm,208,8.64
final_layernorm,224,8.96
final_layernorm,240,9.792
final_layernorm,256,7.328
layernorm,1,4.2715
layernorm,2,4.448
layernorm,3,4.3515
layernorm,4,4.497
layernorm,5,4.576
layernorm,6,4.448
layernorm,7,4.239
layernorm,8,4.112
layernorm,9,4.0795
layernorm,10,4.464
layernorm,11,4.176
layernorm,12,4.304
layernorm,13,4.144
layernorm,14,4.224
layernorm,15,4.256
layernorm,16,4.0005
layernorm,20,4.1115
layernorm,24,4.048
layernorm,28,4.288
layernorm,32,4.208
layernorm,36,4.576
layernorm,40,4.592
layernorm,44,4.432
layernorm,48,4.7365
layernorm,52,4.768
layernorm,56,4.608
layernorm,60,4.864
layernorm,64,4.704
layernorm,80,5.008
layernorm,96,5.2
layernorm,112,4.96
layernorm,128,5.68
layernorm,144,5.536
layernorm,160,5.824
layernorm,176,6.752
layernorm,192,6.544
layernorm,208,6.928
layernorm,224,7.12
layernorm,240,6.96
layernorm,256,6.448
o_proj,1,18.399
o_proj,2,24.063
o_proj,3,24.544
o_proj,4,23.68
o_proj,5,23.904
o_proj,6,24.032
o_proj,7,24.224
o_proj,8,24.449
o_proj,9,25.599
o_proj,10,24.672
o_proj,11,24.864
o_proj,12,24.671
o_proj,13,25.28
o_proj,14,24.672
o_proj,15,25.056
o_proj,16,25.888
o_proj,20,26.655
o_proj,24,27.36
o_proj,28,26.688
o_proj,32,27.136
o_proj,36,29.568
o_proj,40,30.656
o_proj,44,32.096
o_proj,48,31.935
o_proj,52,32.737
o_proj,56,32.288
o_proj,60,33.824
o_proj,64,32.832
o_proj,80,41.279
o_proj,96,47.647
o_proj,112,47.104
o_proj,128,49.854
o_proj,144,58.079
o_proj,160,61.184
o_proj,176,48.928
o_proj,192,49.343
o_proj,208,56.192
o_proj,224,55.744
o_proj,240,56.543
o_proj,256,58.526
qkv_proj,1,58.463
qkv_proj,2,46.4
qkv_proj,3,47.392
qkv_proj,4,54.27
qkv_proj,5,51.488
qkv_proj,6,55.455
qkv_proj,7,52.575
qkv_proj,8,48.319
qkv_proj,9,47.295
qkv_proj,10,52.735
qkv_proj,11,52.767
qkv_proj,12,47.839
qkv_proj,13,52.607
qkv_proj,14,47.009
qkv_proj,15,48.415
qkv_proj,16,53.247
qkv_proj,20,49.696
qkv_proj,24,49.408
qkv_proj,28,50.975
qkv_proj,32,50.912
qkv_proj,36,71.327
qkv_proj,40,72.799
qkv_proj,44,72.544
qkv_proj,48,73.183
qkv_proj,52,70.975
qkv_proj,56,72.384
qkv_proj,60,72.928
qkv_proj,64,72.288
qkv_proj,80,92.032
qkv_proj,96,91.391
qkv_proj,112,93.12
qkv_proj,128,95.072
qkv_proj,144,92.543
qkv_proj,160,89.983
qkv_proj,176,94.271
qkv_proj,192,93.919
qkv_proj,208,131.967
qkv_proj,224,131.583
qkv_proj,240,132.223
qkv_proj,256,133.023
rotary_emb,1,4.704
rotary_emb,2,4.416
rotary_emb,3,4.64
rotary_emb,4,4.768
rotary_emb,5,4.448
rotary_emb,6,4.576
rotary_emb,7,4.704
rotary_emb,8,4.576
rotary_emb,9,4.736
rotary_emb,10,14.112
rotary_emb,11,4.575
rotary_emb,12,4.512
rotary_emb,13,4.448
rotary_emb,14,4.8
rotary_emb,15,4.48
rotary_emb,16,4.48
rotary_emb,20,4.96
rotary_emb,24,4.864
rotary_emb,28,7.52
rotary_emb,32,5.056
rotary_emb,36,5.248
rotary_emb,40,5.44
rotary_emb,44,5.793
rotary_emb,48,5.632
rotary_emb,52,6.08
rotary_emb,56,6.048
rotary_emb,60,5.215
rotary_emb,64,5.889
rotary_emb,80,5.152
rotary_emb,96,5.856
rotary_emb,112,5.28
rotary_emb,128,5.536
rotary_emb,144,5.856
rotary_emb,160,5.505
rotary_emb,176,6.592
rotary_emb,192,6.944
rotary_emb,208,6.752
rotary_emb,224,8.128
rotary_emb,240,8.16
rotary_emb,256,8.575
