layer,sequences,time_us
lm_head,1,849.401
lm_head,2,854.233
lm_head,3,864.121
lm_head,4,869.85
lm_head,5,875.098
lm_head,6,876.186
lm_head,7,883.065
lm_head,8,882.074
lm_head,9,886.073
lm_head,10,885.593
lm_head,11,959.48
lm_head,12,963.416
lm_head,13,981.208
lm_head,14,975.705
lm_head,15,969.145
lm_head,16,979.032
lm_head,20,924.76
lm_head,24,934.104
lm_head,28,947.929
lm_head,32,962.201
sampler,1,27.36
sampler,2,26.816
sampler,3,28.416
sampler,4,29.312
sampler,5,32.8
sampler,6,34.045
sampler,7,35.648
sampler,8,37.984
sampler,9,42.848
sampler,10,44.096
sampler,11,48.063
sampler,12,48.319
sampler,13,54.432
sampler,14,56.991
sampler,15,59.713
sampler,16,61.824
sampler,20,73.023
sampler,24,85.631
sampler,28,94.976
sampler,32,101.536
