tokens,activated_experts,time_us
1,8,5975.26
2,8,5996.53
2,16,11595.2
4,8,6007.1
4,16,11539.1
4,32,22689.5
8,8,5998
8,16,11477.2
8,32,22778.9
8,64,43313.3
16,8,6121.62
16,16,11529.4
16,32,22857.9
16,64,43309.8
16,128,85550.7
32,8,11541
32,16,11532.4
32,32,22693.9
32,64,43342.9
32,128,85518
64,8,18674.2
64,16,18635.6
64,32,38279.3
64,64,72953.5
64,128,144597
128,8,75701.8
128,16,75711.8
128,32,148776
128,64,297563
128,128,579799
256,8,115929
256,16,115727
256,32,116028
256,64,234715
256,128,460267
