mode,dataset,num_reqs,wall_s,host_wall_s,sim_clocks_ns,log,csv
mono,workloads/example_trace.jsonl,10,14.473,15.052,1665077255,outputs/branch_compare/dvfs_speedup/p0_2_full/mono_10req.log,outputs/branch_compare/dvfs_speedup/p0_2_full/mono_10req.csv
seg,workloads/example_trace.jsonl,10,47.118,47.59,1663438891,outputs/branch_compare/dvfs_speedup/p0_2_full/seg_10req.log,outputs/branch_compare/dvfs_speedup/p0_2_full/seg_10req.csv
