layer,tokens,time_us
qkv_proj,224,108.959
qkv_proj,240,110.431
qkv_proj,256,110.463
rotary_emb,1,5.792
rotary_emb,2,5.536
rotary_emb,3,5.504
rotary_emb,4,5.536
rotary_emb,5,5.44
rotary_emb,6,5.791
rotary_emb,7,5.696
rotary_emb,8,5.728
rotary_emb,9,5.824
rotary_emb,10,5.727
rotary_emb,11,5.76
rotary_emb,12,5.472
rotary_emb,13,5.824
rotary_emb,14,5.472
rotary_emb,15,5.696
rotary_emb,16,5.727
rotary_emb,20,5.472
rotary_emb,24,5.44
rotary_emb,28,5.76
rotary_emb,32,5.44
rotary_emb,36,5.44
rotary_emb,40,5.44
rotary_emb,44,5.856
rotary_emb,48,5.792
rotary_emb,52,6.047
rotary_emb,56,6.176
rotary_emb,60,5.568
rotary_emb,64,5.856
rotary_emb,80,5.695
rotary_emb,96,6.752
rotary_emb,112,6.976
rotary_emb,128,6.976
rotary_emb,144,7.04
rotary_emb,160,6.848
rotary_emb,176,8.48
rotary_emb,192,8.608
rotary_emb,208,8.48
rotary_emb,224,8.704
rotary_emb,240,8.928
rotary_emb,256,9.92
