tokens,activated_experts,time_us
1,8,6240.95
2,8,6243.67
2,16,11912.8
4,8,6220.31
4,16,11946
4,32,23348.3
8,8,6221.62
8,16,11875.9
8,32,23378.6
8,64,44034.1
16,8,6242.34
16,16,11934.5
16,32,23314.9
16,64,44024.5
16,128,86383.5
32,8,11889.2
32,16,11856.8
32,32,23258
32,64,44116.7
32,128,86586.7
64,8,19440.2
64,16,19383.5
64,32,39087.7
64,64,74140.7
64,128,146298
128,8,78788.9
128,16,78772.4
128,32,154165
128,64,309329
128,128,596471
256,8,120721
256,16,120621
256,32,120799
256,64,244998
256,128,480905
