tokens,activated_experts,time_us
1,2,5092.34
2,2,5114.42
2,4,8011.42
4,2,5114.81
4,4,7998.63
4,8,12877.8
8,2,5122.23
8,4,7986.84
8,8,12819.8
8,16,21428.2
16,2,5134.65
16,4,7999.76
16,8,12871.8
16,16,21376.4
32,2,7930.11
32,4,7966.69
32,8,12739.6
32,16,21300.1
64,2,13036.6
64,4,13109.1
64,8,20750.8
64,16,34987.3
128,2,55391
128,4,55247.5
128,8,86431.2
128,16,151371
256,2,54879.8
256,4,55915.3
256,8,55361.3
256,16,102918
