tokens,activated_experts,time_us
1,4,5981.78
2,4,6110.26
2,8,11504.3
4,4,6092.54
4,8,11687.4
4,16,22101.5
8,4,6115.86
8,8,11512.4
8,16,21953
8,32,40710.8
16,4,6126.26
16,8,11530.5
16,16,21907
16,32,40625.9
32,4,11594
32,8,11630.4
32,16,22319.7
32,32,40786.9
64,4,18749.5
64,8,18828.1
64,16,38267.6
64,32,69436.3
128,4,67273
128,8,67057.7
128,16,143337
128,32,274433
256,4,111402
256,8,111574
256,16,110895
256,32,225265
