prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
32,16,8,128,96.638
32,16,8,256,159.487
32,16,16,16,56.768
32,16,16,32,80.223
32,16,16,64,113.408
32,16,16,128,177.856
32,16,16,256,302.142
32,32,0,0,33.696
32,32,1,16,32.576
32,32,1,32,33.344
32,32,1,64,41.407
32,32,1,128,60.671
32,32,1,256,98.559
32,32,2,16,32.512
32,32,2,32,33.248
32,32,2,64,42.272
32,32,2,128,61.952
32,32,2,256,99.456
32,32,4,16,34.944
32,32,4,32,42.24
32,32,4,64,57.503
32,32,4,128,89.183
32,32,4,256,150.399
32,32,8,16,38.432
32,32,8,32,46.368
32,32,8,64,64.64
32,32,8,128,96.351
32,32,8,256,159.838
32,32,16,16,63.2
32,32,16,32,80.415
32,32,16,64,113.631
32,32,16,128,177.567
32,32,16,256,302.398
32,64,0,0,42.336
32,64,1,16,42.496
32,64,1,32,42.112
32,64,1,64,42.399
32,64,1,128,60.991
32,64,1,256,98.464
32,64,2,16,42.464
32,64,2,32,42.943
32,64,2,64,43.423
32,64,2,128,62.656
32,64,2,256,99.646
32,64,4,16,44.352
32,64,4,32,50.687
32,64,4,64,57.792
32,64,4,128,89.951
32,64,4,256,151.583
32,64,8,16,47.295
32,64,8,32,55.04
32,64,8,64,65.215
32,64,8,128,97.216
32,64,8,256,159.199
32,64,16,16,66.656
32,64,16,32,89.856
32,64,16,64,115.199
32,64,16,128,178.079
32,64,16,256,302.302
32,128,0,0,60.576
32,128,1,16,60.415
32,128,1,32,60.672
32,128,1,64,70.784
32,128,1,128,61.152
32,128,1,256,98.719
32,128,2,16,61.056
32,128,2,32,61.632
32,128,2,64,61.76
32,128,2,128,61.791
32,128,2,256,99.999
32,128,4,16,63.039
32,128,4,32,69.759
32,128,4,64,76.479
32,128,4,128,90.335
32,128,4,256,151.103
32,128,8,16,66.272
32,128,8,32,73.406
32,128,8,64,84.193
32,128,8,128,97.759
32,128,8,256,160.543
32,128,16,16,94.11
32,128,16,32,125.855
32,128,16,64,130.399
32,128,16,128,178.975
32,128,16,256,304.445
32,256,0,0,108.415
32,256,1,16,98.174
32,256,1,32,98.11
32,256,1,64,98.015
32,256,1,128,97.919
32,256,1,256,98.209
32,256,2,16,98.015
32,256,2,32,98.239
32,256,2,64,98.784
32,256,2,128,98.304
32,256,2,256,100.351
32,256,4,16,98.879
32,256,4,32,107.007
32,256,4,64,113.535
32,256,4,128,126.527
32,256,4,256,153.759
32,256,8,16,103.711
32,256,8,32,110.527
32,256,8,64,118.975
32,256,8,128,134.271
32,256,8,256,163.037
32,256,16,16,173.182
32,256,16,32,187.966
32,256,16,64,204.03
32,256,16,128,211.934
32,256,16,256,304.927
64,0,0,0,33.215
64,0,1,16,35.584
64,0,1,32,42.335
64,0,1,64,49.824
64,0,1,128,68.608
64,0,1,256,105.534
64,0,2,16,34.752
64,0,2,32,41.023
64,0,2,64,49.921
64,0,2,128,69.023
64,0,2,256,107.199
64,0,4,16,41.056
64,0,4,32,42.144
64,0,4,64,57.28
64,0,4,128,90.079
64,0,4,256,153.023
64,0,8,16,56.096
64,0,8,32,69.504
64,0,8,64,84.607
64,0,8,128,115.263
64,0,8,256,179.103
64,0,16,16,61.856
64,0,16,32,79.68
64,0,16,64,113.184
64,0,16,128,179.743
64,0,16,256,305.438
64,16,0,0,41.664
64,16,1,16,50.656
64,16,1,32,50.016
64,16,1,64,58.751
64,16,1,128,73.695
64,16,1,256,112.225
64,16,2,16,44.224
64,16,2,32,49.408
64,16,2,64,57.056
64,16,2,128,73.184
64,16,2,256,111.839
64,16,4,16,49.695
64,16,4,32,49.984
64,16,4,64,58.751
64,16,4,128,88.927
64,16,4,256,152.543
64,16,8,16,57.441
64,16,8,32,77.28
64,16,8,64,85.759
64,16,8,128,125.151
