campaign	run_id	model_key	dvfs_apply_mode	n_transitions	exec_sec	wall_sec	barrier_wait_sec_worker	per_barrier_sec	exec_overhead_vs_baseline_sec	wall_overhead_vs_baseline_sec	baseline_exec_sec	marker_count	barrier_count	ttft_ms	freq_schedule_mhz	barrier_layers
v100_tcalib_slim_async	tcalib_n001_phi_i00	phi	async	1	6.868299	7.589033	0.720734	0.7207				0	0	6933.324	[700]	[24]
v100_tcalib_slim_sync	tcalib_n001_phi_i00	phi	sync	1	8.220379	25.821874	17.601495	17.6015				1	1	24056.491	[700]	[24]
